Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Keno (ATA),,"14,06",25,"6,76","4,40","0,87",40,10,5,,43,29,26,4,,,,,4,1,,32,22,248
Arrascaeta (MEI),,"18,88",18,"6,55","12,20","1,87",29,6,4,,24,15,13,2,,,,,,,,12,,184
Pepê (ATA),,"13,81",23,"6,31","0,00","0,00",31,8,4,,48,15,8,1,,,,,1,,,9,4,101
Vina (MEI),,"10,26",22,"6,20","-0,30","-1,32",11,9,6,,20,28,23,1,,,,,3,1,,16,4,195
Luciano (ATA),,"9,35",20,"6,17","0,00","0,00",25,11,1,,33,11,5,1,,,,,3,,,23,5,90
Claudinho (ATA),,"16,83",26,"6,04","17,00","2,68",42,11,3,,37,25,20,,,,,,4,1,,24,4,244
Kuscevic (ZAG),,"6,73",3,"5,80","0,00","0,00",6,,,2,4,,1,1,,,,,1,,,4,,8
Gabriel (ATA),,"12,96",16,"5,42","8,60","1,50",5,8,,,16,19,14,1,,,,1,2,,,4,12,81
Calegari (LAT),,"6,37",13,"5,42","7,40","1,52",53,,,3,35,4,2,,,,,,1,,,16,1,102
Raul (MEI),,"9,62",21,"5,36","6,00","0,79",87,2,2,,53,6,1,,,,,,1,,,36,1,123
Gustavo Morínigo (TEC),,"8,77",2,"5,33","6,22","1,50",,,,,,,,,,,,,,,,,,
Cano (ATA),,"13,44",24,"5,28","3,80","-0,22",11,11,1,,17,15,18,1,,,,,,,,22,11,56
Guilherme Arana (LAT),,"16,79",26,"5,28","3,60","-0,52",43,3,6,9,26,17,16,,,,,,3,,,33,1,279
Patrick (MEI),,"13,18",26,"5,23","8,00","1,25",65,4,3,,57,13,7,3,,,,,1,,,33,2,128
Raphael Veiga (MEI),,"9,11",18,"5,23","0,00","0,00",17,8,1,,26,12,7,,,,,,2,,,18,1,93
Bruno Henrique (ATA),,"13,37",22,"5,20","6,10","1,07",28,6,5,,56,19,12,3,,,,,8,1,,34,7,125
Brenner (ATA),,"6,68",21,"5,19","0,80","-0,46",12,8,1,,31,17,16,1,,,,,4,,,17,6,37
Fábio Santos (LAT),,"7,17",11,"5,18","0,00","0,00",21,1,,7,5,2,,,,,,,,,,9,,67
Viña (LAT),,"9,81",17,"5,16","0,00","0,00",55,,2,7,21,7,2,,,,,,3,,,22,2,126
Alisson (MEI),,"10,34",16,"5,04","0,00","0,00",20,1,4,,45,19,14,1,,,,,1,,,15,4,135
Abel Ferreira (TEC),,"12,86",9,"5,04","0,00","0,00",,,,,,,,,,,,,,,,,,
Hyoran (MEI),,"13,46",19,"5,00","12,80","0,81",23,6,2,,26,15,10,2,,,,,2,,,25,2,114
Renato Kayzer (ATA),,"8,85",23,"4,92","9,60","0,51",15,10,1,,36,19,15,2,,,,,3,,,43,16,81
Vargas (ATA),,"10,52",6,"4,85","9,50","1,48",5,1,1,,8,7,3,2,,,,,1,,,2,5,26
Reinaldo (LAT),,"14,08",23,"4,82","4,50","0,73",45,4,4,6,25,9,10,,,,,,3,,,26,,289
Juan Ramírez (ATA),,"3,66",5,"4,76","0,00","0,00",2,2,1,,14,5,1,,,,,,1,,,12,,34
Jemerson (ZAG),,"6,54",1,"4,70","0,00","0,00",1,,,1,,,,,,,,,,,,2,,3
Jean (GOL),,"10,24",27,"4,59","5,30","0,35",1,2,,7,8,1,1,,37,1,,,1,,32,1,,227
Fernando Sobral (MEI),,"12,92",27,"4,58","3,70","-0,16",95,1,3,,43,19,10,1,,,,,2,,,46,6,161
Jorge Sampaoli (TEC),,"14,23",26,"4,49","4,63","0,45",,,,,,,,,,,,,,,,,,
Luiz Adriano (ATA),,"11,44",17,"4,46","0,00","0,00",10,8,1,,15,6,5,,,,,,2,1,,17,1,44
Guga (LAT),,"12,66",23,"4,42","-0,50","-0,16",56,1,1,9,28,6,2,1,,,,,2,,,28,,186
